Event	Sub-task	Train Data (size, pos., neg.)	Dev Data (size, pos., neg.)	Test Data (size, pos., neg.)	model name	accuracy	CM	pos. F1	SQuAD_total	SQuAD_EM	SQuAD_F1	SQuAD_Pos. EM_F1_total	SQuAD_Pos. EM	SQuAD_Pos. F1	dev_threshold	dev_N	dev_F1	dev_P	dev_R	dev_TP	dev_FP	dev_FN	N	F1	P	R	TP	FP	FN
tested_positive	age	(16588, {'age': 30, 'close_contact': 64, 'employer': 115, 'gender_male': 240, 'gender_female': 105, 'name': 940, 'recent_travel': 47, 'relation': 87, 'when': 35, 'where': 258}, {'age': 16558, 'close_contact': 16524, 'employer': 16473, 'gender_male': 16348, 'gender_female': 16483, 'name': 15648, 'recent_travel': 16541, 'relation': 16501, 'when': 16553, 'where': 16330})	(3873, {'age': 15, 'close_contact': 18, 'employer': 29, 'gender_male': 64, 'gender_female': 27, 'name': 262, 'recent_travel': 20, 'relation': 2, 'when': 8, 'where': 73}, {'age': 3858, 'close_contact': 3855, 'employer': 3844, 'gender_male': 3809, 'gender_female': 3846, 'name': 3611, 'recent_travel': 3853, 'relation': 3871, 'when': 3865, 'where': 3800})	(6423, {'age': 15, 'close_contact': 33, 'employer': 61, 'gender_male': 124, 'gender_female': 45, 'name': 448, 'recent_travel': 27, 'relation': 11, 'when': 13, 'where': 131}, {'age': 6408, 'close_contact': 6390, 'employer': 6362, 'gender_male': 6299, 'gender_female': 6378, 'name': 5975, 'recent_travel': 6396, 'relation': 6412, 'when': 6410, 'where': 6292})	MultiTaskBertForCovidEntityClassification	0.9979760236649541	[[6396, 12], [1, 14]]	0.6829268292682926	630.0	97.93650793650794	98.31632653061224	20.0	70.0	81.96428571428571	0.8	15.0	0.689655172413793	0.7142857142857143	0.6666666666666666	10.0	4.0	5.0	15.0	0.7000000000000001	0.56	0.9333333333333333	14.0	11.0	1.0
tested_positive	close_contact	(16588, {'age': 30, 'close_contact': 64, 'employer': 115, 'gender_male': 240, 'gender_female': 105, 'name': 940, 'recent_travel': 47, 'relation': 87, 'when': 35, 'where': 258}, {'age': 16558, 'close_contact': 16524, 'employer': 16473, 'gender_male': 16348, 'gender_female': 16483, 'name': 15648, 'recent_travel': 16541, 'relation': 16501, 'when': 16553, 'where': 16330})	(3873, {'age': 15, 'close_contact': 18, 'employer': 29, 'gender_male': 64, 'gender_female': 27, 'name': 262, 'recent_travel': 20, 'relation': 2, 'when': 8, 'where': 73}, {'age': 3858, 'close_contact': 3855, 'employer': 3844, 'gender_male': 3809, 'gender_female': 3846, 'name': 3611, 'recent_travel': 3853, 'relation': 3871, 'when': 3865, 'where': 3800})	(6423, {'age': 15, 'close_contact': 33, 'employer': 61, 'gender_male': 124, 'gender_female': 45, 'name': 448, 'recent_travel': 27, 'relation': 11, 'when': 13, 'where': 131}, {'age': 6408, 'close_contact': 6390, 'employer': 6362, 'gender_male': 6299, 'gender_female': 6378, 'name': 5975, 'recent_travel': 6396, 'relation': 6412, 'when': 6410, 'where': 6292})	MultiTaskBertForCovidEntityClassification	0.9926825470963724	[[6364, 26], [21, 12]]	0.3380281690140845	627.0	92.82296650717703	92.82296650717703	32.0	37.5	37.5	0.4	18.0	0.3404255319148936	0.27586206896551724	0.4444444444444444	8.0	21.0	10.0	33.0	0.368421052631579	0.32558139534883723	0.42424242424242425	14.0	29.0	19.0
tested_positive	employer	(16588, {'age': 30, 'close_contact': 64, 'employer': 115, 'gender_male': 240, 'gender_female': 105, 'name': 940, 'recent_travel': 47, 'relation': 87, 'when': 35, 'where': 258}, {'age': 16558, 'close_contact': 16524, 'employer': 16473, 'gender_male': 16348, 'gender_female': 16483, 'name': 15648, 'recent_travel': 16541, 'relation': 16501, 'when': 16553, 'where': 16330})	(3873, {'age': 15, 'close_contact': 18, 'employer': 29, 'gender_male': 64, 'gender_female': 27, 'name': 262, 'recent_travel': 20, 'relation': 2, 'when': 8, 'where': 73}, {'age': 3858, 'close_contact': 3855, 'employer': 3844, 'gender_male': 3809, 'gender_female': 3846, 'name': 3611, 'recent_travel': 3853, 'relation': 3871, 'when': 3865, 'where': 3800})	(6423, {'age': 15, 'close_contact': 33, 'employer': 61, 'gender_male': 124, 'gender_female': 45, 'name': 448, 'recent_travel': 27, 'relation': 11, 'when': 13, 'where': 131}, {'age': 6408, 'close_contact': 6390, 'employer': 6362, 'gender_male': 6299, 'gender_female': 6378, 'name': 5975, 'recent_travel': 6396, 'relation': 6412, 'when': 6410, 'where': 6292})	MultiTaskBertForCovidEntityClassification	0.9872333800404796	[[6315, 47], [35, 26]]	0.3880597014925373	634.0	87.06624605678233	87.59025587101296	69.0	39.130434782608695	43.94524959742351	0.9	29.0	0.523076923076923	0.4722222222222222	0.5862068965517241	17.0	19.0	12.0	61.0	0.39669421487603307	0.4	0.39344262295081966	24.0	36.0	37.0
tested_positive	gender_male	(16588, {'age': 30, 'close_contact': 64, 'employer': 115, 'gender_male': 240, 'gender_female': 105, 'name': 940, 'recent_travel': 47, 'relation': 87, 'when': 35, 'where': 258}, {'age': 16558, 'close_contact': 16524, 'employer': 16473, 'gender_male': 16348, 'gender_female': 16483, 'name': 15648, 'recent_travel': 16541, 'relation': 16501, 'when': 16553, 'where': 16330})	(3873, {'age': 15, 'close_contact': 18, 'employer': 29, 'gender_male': 64, 'gender_female': 27, 'name': 262, 'recent_travel': 20, 'relation': 2, 'when': 8, 'where': 73}, {'age': 3858, 'close_contact': 3855, 'employer': 3844, 'gender_male': 3809, 'gender_female': 3846, 'name': 3611, 'recent_travel': 3853, 'relation': 3871, 'when': 3865, 'where': 3800})	(6423, {'age': 15, 'close_contact': 33, 'employer': 61, 'gender_male': 124, 'gender_female': 45, 'name': 448, 'recent_travel': 27, 'relation': 11, 'when': 13, 'where': 131}, {'age': 6408, 'close_contact': 6390, 'employer': 6362, 'gender_male': 6299, 'gender_female': 6378, 'name': 5975, 'recent_travel': 6396, 'relation': 6412, 'when': 6410, 'where': 6292})	MultiTaskBertForCovidEntityClassification	0.9878561419897244	[[6266, 33], [45, 79]]	0.6694915254237288	638.0	90.43887147335423	91.46962233169131	119.0	66.38655462184875	71.91276510604241	0.8	64.0	0.7142857142857143	0.7258064516129032	0.703125	45.0	17.0	19.0	124.0	0.6548672566371682	0.7254901960784313	0.5967741935483871	74.0	28.0	50.0
tested_positive	gender_female	(16588, {'age': 30, 'close_contact': 64, 'employer': 115, 'gender_male': 240, 'gender_female': 105, 'name': 940, 'recent_travel': 47, 'relation': 87, 'when': 35, 'where': 258}, {'age': 16558, 'close_contact': 16524, 'employer': 16473, 'gender_male': 16348, 'gender_female': 16483, 'name': 15648, 'recent_travel': 16541, 'relation': 16501, 'when': 16553, 'where': 16330})	(3873, {'age': 15, 'close_contact': 18, 'employer': 29, 'gender_male': 64, 'gender_female': 27, 'name': 262, 'recent_travel': 20, 'relation': 2, 'when': 8, 'where': 73}, {'age': 3858, 'close_contact': 3855, 'employer': 3844, 'gender_male': 3809, 'gender_female': 3846, 'name': 3611, 'recent_travel': 3853, 'relation': 3871, 'when': 3865, 'where': 3800})	(6423, {'age': 15, 'close_contact': 33, 'employer': 61, 'gender_male': 124, 'gender_female': 45, 'name': 448, 'recent_travel': 27, 'relation': 11, 'when': 13, 'where': 131}, {'age': 6408, 'close_contact': 6390, 'employer': 6362, 'gender_male': 6299, 'gender_female': 6378, 'name': 5975, 'recent_travel': 6396, 'relation': 6412, 'when': 6410, 'where': 6292})	MultiTaskBertForCovidEntityClassification	0.9954849758679745	[[6368, 10], [19, 26]]	0.6419753086419753	627.0	96.49122807017544	96.58236500341764	40.0	65.0	66.42857142857143	0.2	27.0	0.6666666666666666	0.7619047619047619	0.5925925925925926	16.0	5.0	11.0	45.0	0.6744186046511628	0.7073170731707317	0.6444444444444445	29.0	12.0	16.0
tested_positive	name	(16588, {'age': 30, 'close_contact': 64, 'employer': 115, 'gender_male': 240, 'gender_female': 105, 'name': 940, 'recent_travel': 47, 'relation': 87, 'when': 35, 'where': 258}, {'age': 16558, 'close_contact': 16524, 'employer': 16473, 'gender_male': 16348, 'gender_female': 16483, 'name': 15648, 'recent_travel': 16541, 'relation': 16501, 'when': 16553, 'where': 16330})	(3873, {'age': 15, 'close_contact': 18, 'employer': 29, 'gender_male': 64, 'gender_female': 27, 'name': 262, 'recent_travel': 20, 'relation': 2, 'when': 8, 'where': 73}, {'age': 3858, 'close_contact': 3855, 'employer': 3844, 'gender_male': 3809, 'gender_female': 3846, 'name': 3611, 'recent_travel': 3853, 'relation': 3871, 'when': 3865, 'where': 3800})	(6423, {'age': 15, 'close_contact': 33, 'employer': 61, 'gender_male': 124, 'gender_female': 45, 'name': 448, 'recent_travel': 27, 'relation': 11, 'when': 13, 'where': 131}, {'age': 6408, 'close_contact': 6390, 'employer': 6362, 'gender_male': 6299, 'gender_female': 6378, 'name': 5975, 'recent_travel': 6396, 'relation': 6412, 'when': 6410, 'where': 6292})	MultiTaskBertForCovidEntityClassification	0.9655924023042192	[[5875, 100], [121, 327]]	0.7474285714285716	682.0	70.96774193548387	75.15968228578201	491.0	66.59877800407332	72.42139168819413	0.2	263.0	0.7458866544789763	0.7183098591549296	0.7756653992395437	204.0	80.0	59.0	449.0	0.749719416386083	0.755656108597285	0.7438752783964365	334.0	108.0	115.0
tested_positive	recent_travel	(16588, {'age': 30, 'close_contact': 64, 'employer': 115, 'gender_male': 240, 'gender_female': 105, 'name': 940, 'recent_travel': 47, 'relation': 87, 'when': 35, 'where': 258}, {'age': 16558, 'close_contact': 16524, 'employer': 16473, 'gender_male': 16348, 'gender_female': 16483, 'name': 15648, 'recent_travel': 16541, 'relation': 16501, 'when': 16553, 'where': 16330})	(3873, {'age': 15, 'close_contact': 18, 'employer': 29, 'gender_male': 64, 'gender_female': 27, 'name': 262, 'recent_travel': 20, 'relation': 2, 'when': 8, 'where': 73}, {'age': 3858, 'close_contact': 3855, 'employer': 3844, 'gender_male': 3809, 'gender_female': 3846, 'name': 3611, 'recent_travel': 3853, 'relation': 3871, 'when': 3865, 'where': 3800})	(6423, {'age': 15, 'close_contact': 33, 'employer': 61, 'gender_male': 124, 'gender_female': 45, 'name': 448, 'recent_travel': 27, 'relation': 11, 'when': 13, 'where': 131}, {'age': 6408, 'close_contact': 6390, 'employer': 6362, 'gender_male': 6299, 'gender_female': 6378, 'name': 5975, 'recent_travel': 6396, 'relation': 6412, 'when': 6410, 'where': 6292})	MultiTaskBertForCovidEntityClassification	0.9947065234314183	[[6378, 18], [16, 11]]	0.39285714285714285	631.0	95.08716323296355	95.47958644630593	32.0	34.375	42.11309523809524	0.8	20.0	0.5000000000000001	0.40625	0.65	13.0	19.0	7.0	27.0	0.425531914893617	0.5	0.37037037037037035	10.0	10.0	17.0
tested_positive	relation	(16588, {'age': 30, 'close_contact': 64, 'employer': 115, 'gender_male': 240, 'gender_female': 105, 'name': 940, 'recent_travel': 47, 'relation': 87, 'when': 35, 'where': 258}, {'age': 16558, 'close_contact': 16524, 'employer': 16473, 'gender_male': 16348, 'gender_female': 16483, 'name': 15648, 'recent_travel': 16541, 'relation': 16501, 'when': 16553, 'where': 16330})	(3873, {'age': 15, 'close_contact': 18, 'employer': 29, 'gender_male': 64, 'gender_female': 27, 'name': 262, 'recent_travel': 20, 'relation': 2, 'when': 8, 'where': 73}, {'age': 3858, 'close_contact': 3855, 'employer': 3844, 'gender_male': 3809, 'gender_female': 3846, 'name': 3611, 'recent_travel': 3853, 'relation': 3871, 'when': 3865, 'where': 3800})	(6423, {'age': 15, 'close_contact': 33, 'employer': 61, 'gender_male': 124, 'gender_female': 45, 'name': 448, 'recent_travel': 27, 'relation': 11, 'when': 13, 'where': 131}, {'age': 6408, 'close_contact': 6390, 'employer': 6362, 'gender_male': 6299, 'gender_female': 6378, 'name': 5975, 'recent_travel': 6396, 'relation': 6412, 'when': 6410, 'where': 6292})	MultiTaskBertForCovidEntityClassification	0.9987544761015102	[[6408, 4], [4, 7]]	0.6363636363636364	625.0	99.04	99.04	9.0	77.77777777777777	77.77777777777777	0.7	2.0	0.6666666666666666	1.0	0.5	1.0	0.0	1.0	11.0	0.5714285714285713	0.6	0.5454545454545454	6.0	4.0	5.0
tested_positive	when	(16588, {'age': 30, 'close_contact': 64, 'employer': 115, 'gender_male': 240, 'gender_female': 105, 'name': 940, 'recent_travel': 47, 'relation': 87, 'when': 35, 'where': 258}, {'age': 16558, 'close_contact': 16524, 'employer': 16473, 'gender_male': 16348, 'gender_female': 16483, 'name': 15648, 'recent_travel': 16541, 'relation': 16501, 'when': 16553, 'where': 16330})	(3873, {'age': 15, 'close_contact': 18, 'employer': 29, 'gender_male': 64, 'gender_female': 27, 'name': 262, 'recent_travel': 20, 'relation': 2, 'when': 8, 'where': 73}, {'age': 3858, 'close_contact': 3855, 'employer': 3844, 'gender_male': 3809, 'gender_female': 3846, 'name': 3611, 'recent_travel': 3853, 'relation': 3871, 'when': 3865, 'where': 3800})	(6423, {'age': 15, 'close_contact': 33, 'employer': 61, 'gender_male': 124, 'gender_female': 45, 'name': 448, 'recent_travel': 27, 'relation': 11, 'when': 13, 'where': 131}, {'age': 6408, 'close_contact': 6390, 'employer': 6362, 'gender_male': 6299, 'gender_female': 6378, 'name': 5975, 'recent_travel': 6396, 'relation': 6412, 'when': 6410, 'where': 6292})	MultiTaskBertForCovidEntityClassification	0.9965748092791531	[[6393, 17], [5, 8]]	0.4210526315789474	628.0	96.4968152866242	96.54989384288747	14.0	57.142857142857146	59.523809523809526	0.1	8.0	0.3125	0.20833333333333334	0.625	5.0	19.0	3.0	13.0	0.4	0.28125	0.6923076923076923	9.0	23.0	4.0
tested_positive	where	(16588, {'age': 30, 'close_contact': 64, 'employer': 115, 'gender_male': 240, 'gender_female': 105, 'name': 940, 'recent_travel': 47, 'relation': 87, 'when': 35, 'where': 258}, {'age': 16558, 'close_contact': 16524, 'employer': 16473, 'gender_male': 16348, 'gender_female': 16483, 'name': 15648, 'recent_travel': 16541, 'relation': 16501, 'when': 16553, 'where': 16330})	(3873, {'age': 15, 'close_contact': 18, 'employer': 29, 'gender_male': 64, 'gender_female': 27, 'name': 262, 'recent_travel': 20, 'relation': 2, 'when': 8, 'where': 73}, {'age': 3858, 'close_contact': 3855, 'employer': 3844, 'gender_male': 3809, 'gender_female': 3846, 'name': 3611, 'recent_travel': 3853, 'relation': 3871, 'when': 3865, 'where': 3800})	(6423, {'age': 15, 'close_contact': 33, 'employer': 61, 'gender_male': 124, 'gender_female': 45, 'name': 448, 'recent_travel': 27, 'relation': 11, 'when': 13, 'where': 131}, {'age': 6408, 'close_contact': 6390, 'employer': 6362, 'gender_male': 6299, 'gender_female': 6378, 'name': 5975, 'recent_travel': 6396, 'relation': 6412, 'when': 6410, 'where': 6292})	MultiTaskBertForCovidEntityClassification	0.9789817842129845	[[6204, 88], [47, 84]]	0.5544554455445544	643.0	81.18195956454122	81.74183514774495	147.0	57.82312925170068	60.27210884353742	0.9	73.0	0.5903614457831325	0.5268817204301075	0.6712328767123288	49.0	44.0	24.0	131.0	0.5480427046263345	0.5133333333333333	0.5877862595419847	77.0	73.0	54.0
tested_negative	age	(8107, {'age': 9, 'close_contact': 20, 'gender_male': 123, 'gender_female': 48, 'how_long': 13, 'name': 329, 'relation': 64, 'when': 12, 'where': 56}, {'age': 8098, 'close_contact': 8087, 'gender_male': 7984, 'gender_female': 8059, 'how_long': 8094, 'name': 7778, 'relation': 8043, 'when': 8095, 'where': 8051})	(2151, {'age': 0, 'close_contact': 1, 'gender_male': 21, 'gender_female': 21, 'how_long': 5, 'name': 93, 'relation': 17, 'when': 5, 'where': 22}, {'age': 2151, 'close_contact': 2150, 'gender_male': 2130, 'gender_female': 2130, 'how_long': 2146, 'name': 2058, 'relation': 2134, 'when': 2146, 'where': 2129})	(3603, {'age': 3, 'close_contact': 2, 'gender_male': 47, 'gender_female': 22, 'how_long': 2, 'name': 134, 'relation': 26, 'when': 3, 'where': 18}, {'age': 3600, 'close_contact': 3601, 'gender_male': 3556, 'gender_female': 3581, 'how_long': 3601, 'name': 3469, 'relation': 3577, 'when': 3600, 'where': 3585})	MultiTaskBertForCovidEntityClassification	0.9991673605328892	[[3600, 0], [3, 0]]	0.0	300.0	99.0	99.0	3.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0
tested_negative	close_contact	(8107, {'age': 9, 'close_contact': 20, 'gender_male': 123, 'gender_female': 48, 'how_long': 13, 'name': 329, 'relation': 64, 'when': 12, 'where': 56}, {'age': 8098, 'close_contact': 8087, 'gender_male': 7984, 'gender_female': 8059, 'how_long': 8094, 'name': 7778, 'relation': 8043, 'when': 8095, 'where': 8051})	(2151, {'age': 0, 'close_contact': 1, 'gender_male': 21, 'gender_female': 21, 'how_long': 5, 'name': 93, 'relation': 17, 'when': 5, 'where': 22}, {'age': 2151, 'close_contact': 2150, 'gender_male': 2130, 'gender_female': 2130, 'how_long': 2146, 'name': 2058, 'relation': 2134, 'when': 2146, 'where': 2129})	(3603, {'age': 3, 'close_contact': 2, 'gender_male': 47, 'gender_female': 22, 'how_long': 2, 'name': 134, 'relation': 26, 'when': 3, 'where': 18}, {'age': 3600, 'close_contact': 3601, 'gender_male': 3556, 'gender_female': 3581, 'how_long': 3601, 'name': 3469, 'relation': 3577, 'when': 3600, 'where': 3585})	MultiTaskBertForCovidEntityClassification	0.9994449070219261	[[3601, 0], [2, 0]]	0.0	300.0	98.33333333333333	98.33333333333333	5.0	0.0	0.0	0.5	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
tested_negative	gender_male	(8107, {'age': 9, 'close_contact': 20, 'gender_male': 123, 'gender_female': 48, 'how_long': 13, 'name': 329, 'relation': 64, 'when': 12, 'where': 56}, {'age': 8098, 'close_contact': 8087, 'gender_male': 7984, 'gender_female': 8059, 'how_long': 8094, 'name': 7778, 'relation': 8043, 'when': 8095, 'where': 8051})	(2151, {'age': 0, 'close_contact': 1, 'gender_male': 21, 'gender_female': 21, 'how_long': 5, 'name': 93, 'relation': 17, 'when': 5, 'where': 22}, {'age': 2151, 'close_contact': 2150, 'gender_male': 2130, 'gender_female': 2130, 'how_long': 2146, 'name': 2058, 'relation': 2134, 'when': 2146, 'where': 2129})	(3603, {'age': 3, 'close_contact': 2, 'gender_male': 47, 'gender_female': 22, 'how_long': 2, 'name': 134, 'relation': 26, 'when': 3, 'where': 18}, {'age': 3600, 'close_contact': 3601, 'gender_male': 3556, 'gender_female': 3581, 'how_long': 3601, 'name': 3469, 'relation': 3577, 'when': 3600, 'where': 3585})	MultiTaskBertForCovidEntityClassification	0.9900083263946711	[[3534, 22], [14, 33]]	0.6470588235294118	308.0	90.9090909090909	91.9702123273552	47.0	72.34042553191489	79.29415737926375	0.3	21.0	0.6153846153846153	0.5161290322580645	0.7619047619047619	16.0	15.0	5.0	47.0	0.6346153846153846	0.5789473684210527	0.7021276595744681	33.0	24.0	14.0
